zincid,Binder,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,Notes,smiles,score,hac
ZINC000270269326,1,500,>10000,>10000,17.4,89.24,,Clc1ccc(-n2cc(CNC[C@@H]3CCCOC3)nn2)c(Cl)c1,-63.99,22.0
ZINC000298424869,0,,,,NT,40.90,,CC(C)(CO)[C@@H](NCC[C@H](O)c1ccccc1)c1cccs1,-63.99,22.0
ZINC000451246180,0,,,,NT,-6.84,,CC1(C)OCC[C@H]1N[C@@H]1CCN(c2ccc(Cl)cc2Cl)C1=O,-63.99,22.0
ZINC000639821604,0,,,,NT,40.16,,CCN(CC(=O)Nc1ccc(C)cc1)[C@H]1CCN(CC(F)(F)F)C1,-63.99,24.0
ZINC000355145881,0,,,,NT,11.92,,CCCCn1ncc(NC(=O)[C@@H](CCC)NC(C)C)c1C,-63.98,21.0
ZINC000414571266,1,6210,>10000,>10000,NT,85.54,,COC(=O)c1occc1CN[C@H](C)Cc1cn(C)c2ccc(F)cc12,-63.98,25.0
ZINC000433175971,0,,,,NT,-9.86,,OCCN(Cc1ncc(-c2ccccc2F)o1)[C@H]1CCCSC1,-63.98,23.0
ZINC000277379419,0,,,,NT,8.04,,Cc1ccsc1CNC(=O)CN[C@@H]1CCOC[C@@H]1C,-63.97,19.0
ZINC000593910140,0,,,,NT,-5.96,,O=C(NCCc1ccccc1[N+](=O)[O-])[C@H]1CC[C@H](C2CC2)N1,-63.97,22.0
ZINC000625626121,0,,,,NT,27.22,,C[C@@H](c1ccc(F)c(Cl)c1)N1C[C@@H](O)[C@H](Oc2cnn(C)c2)C1,-63.97,23.0
ZINC000065939558,0,,,,NT,17.10,,Cc1cc(NC(=O)C(=O)N(CCN(C)C)Cc2cccc(F)c2)no1,-63.96,25.0
ZINC000269834111,0,,,,NT,9.30,,Cc1ccc(C)c(NC(=O)[C@H](C)N2CCC[C@H]2C[C@@H](C)O)c1,-63.96,22.0
ZINC000431415543,1,6370,>10000,>10000,NT,80.83,,Cn1c2cc(F)ccc2[nH]c1=NCCc1nc(-c2ccccc2)n[nH]1,-63.96,25.0
ZINC000429250556,0,,,,NT,1.26,,Cc1ccc(C)c(NC(=O)CNC(C)(C)c2ccccc2F)c1,-63.95,23.0
ZINC000114729400,0,,,,NT,22.85,,CNC(=O)c1cccc(NC(=O)[C@H](C)N2CCC[C@H](C(C)C)CC2)c1,-63.94,25.0
ZINC000301675210,0,,,,NT,-12.79,,Nc1nc(NC[C@H]2CC(=O)Nc3ccccc32)cc(-n2cccn2)n1,-63.94,25.0
ZINC000437075156,1,190,>10000,>10000,10440,95.96,,C[C@H](N[C@H](CO)Cc1ccccc1)c1cc2c(s1)CCC2,-63.94,21.0
ZINC000641276655,0,,,,NT,36.90,,COc1cccc([C@@H](CNc2ncncc2C)N2CCCC2)c1,-63.94,23.0
ZINC000564047596,0,,,,NT,72.87,,COc1ccc(F)c2[nH]c(C(=O)N3CCN(c4ncc[nH]4)CC3)cc21,-63.93,25.0
ZINC000513544959,0,,,,NT,-4.59,,Cc1ccc(CNCC2(O)CCN(C(C)C)CC2)c(Br)c1,-63.92,21.0
ZINC000271207637,0,,,,NT,-15.64,,CN(Cc1cc(-c2ccccc2)ccc1O)[C@H]1CCN(C)C1=O,-63.91,23.0
ZINC000345017701,0,,,,NT,7.11,,COC(=O)c1occc1CNC[C@@H]1C[C@H](O)CN1Cc1ccccc1,-63.91,25.0
ZINC000429271342,1,1710,>10000,>10000,NT,87.02,,CC[C@H]1CCN1[C@H](C)C(=O)Nc1ccc(Br)cc1,-63.91,18.0
ZINC000465129598,1,80,>10000,>10000,23.8,99.15,,CC(C)N1C[C@H](C)[C@H](NC(=O)c2cc3ccc(Br)cc3[nH]2)C1,-63.91,22.0
ZINC000493204343,1,2450,>10000,5890,NT,83.02,,CC(C)(C)[C@@H](CN)NC(=O)/C=C/c1csc(Br)c1,-63.91,18.0
ZINC000564471621,0,,,,NT,36.90,,CN[C@@H](C)C(=O)NCc1cccc(-c2ccc(C)cc2)c1,-63.91,21.0
ZINC000626433159,0,,,,NT,-10.74,,CO[C@@H]1CCN([C@@H]2CCC[C@@H]2N(C)C(=O)Nc2ccc(C)nc2C)C1,-63.91,25.0
ZINC000265738616,1,2240,>10000,>10000,NT,62.14,,CS[C@@H](CO)[C@@H](C)NCc1cc(-c2ccccc2)ccc1O,-63.91,22.0
ZINC000131555915,0,,,,NT,12.26,,C[C@H](Cn1ncc2ccccc2c1=O)NC[C@@H]1CC=CCC1,-63.9,22.0
ZINC000345928153,0,,,,NT,3.75,,CC[C@H](C(=O)Nc1ccnn1CC)N(CC)CC,-63.9,18.0
ZINC000358789280,0,,,,NT,-20.99,,C[C@H](NCC(=O)Nc1ccccc1-c1ccccc1)c1cn[nH]c1,-63.9,24.0
ZINC000560268239,1,1440,>10000,>10000,NT,88.63,,N#C[C@H]1CC[C@H](NCC(=O)Nc2ccc(I)cc2)C1,-63.9,19.0
ZINC000599310911,0,,,,NT,48.02,,CN1CCCC[C@H]1C(=O)NCCNc1ncc(Cl)cc1Cl,-63.9,21.0
ZINC000068920681,0,,,,NT,43.72,,Cc1ccc(/C=C/C(=O)NCC(C)(C)N2CCOCC2)cc1,-63.89,22.0
ZINC000543431292,0,,,,NT,21.03,,CCC(C)(C)N[C@H](C)C(=O)NCc1cc2ccccc2o1,-63.87,21.0
ZINC000362128724,1,160,8610,6040,32190,85.83,,CN(CCNc1ncc(C#N)cc1Cl)Cc1ccc(F)cc1,-63.85,22.0
ZINC000112717206,0,,,,NT,55.90,,OC1(CNCc2ccc(-c3ccccc3)s2)CCOCC1,-63.83,21.0
ZINC000518842964,1,120,>10000,>10000,22140,99.88,,O[C@@H]1Cc2ccccc2[C@H]1NCc1cn2ccc(Br)cc2n1,-63.82,22.0
ZINC000271618372,0,,,,NT,21.48,,CC[C@@H]1CC[C@H](C)N1CC(=O)Nc1cc(-n2nnnc2C)ccc1F,-63.79,25.0
ZINC000162663443,0,,,,NT,0.29,,Cc1sc2nc(CN(C)[C@H]3CCSC3)[nH]c(=O)c2c1C,-63.77,20.0
ZINC000629994563,0,,,,NT,41.96,,COc1ccc(CNC(=O)CN(C)C2CCC2)c(OC)n1,-63.76,21.0
ZINC000423276506,0,,,,NT,17.11,,C[C@@H](NC(=O)[C@@H]1C[C@H](C)CCN1)c1noc(-c2ccc(Cl)cc2)n1,-63.74,24.0
ZINC000594232893,1,5530,>10000,>10000,NT,65.44,,CC(C)N1C[C@H](C)[C@H](NC(=O)N2Cc3ccc(C#N)cc3C2)C1,-63.7,23.0
ZINC000481348051,0,,,,NT,55.78,,CN(CC#Cc1ccccc1Cl)C[C@@H]1CCCC[C@H]1O,-63.69,20.0
ZINC000361363076,0,,,,NT,13.73,,CO[C@@H]1CCN([C@H](C)C(=O)Nc2ccc(SC)cc2)C1,-63.68,20.0
ZINC000162847633,0,,,,NT,28.36,,CCCC[C@@H](CN)NC(=O)c1c(C)nn(-c2ccccc2)c1Cl,-61.0,23.0
ZINC000278933042,1,270,>10000,>10000,40.5,91.76,,C=Cn1cc(CNC[C@@H](CO)Cc2ccccc2Br)cn1,-61.0,21.0
ZINC000300952679,0,,,,NT,54.54,,Cc1ccc(I)cc1NC(=O)CNC1CC1,-61.0,16.0
ZINC000349908169,0,,,,NT,23.55,,CC(C)N(C)C[C@H](C)NC(=O)Nc1ccc(F)cc1Br,-61.0,20.0
ZINC000355163361,0,,,,NT,18.48,,CCOC(=O)c1coc(CN(CCO)C2CCC(CC)CC2)c1,-61.0,23.0
ZINC000364862581,0,,,,NT,23.22,,Cc1csc(NC(=O)C2CCN([C@H]3CCC(C)(C)C3)CC2)n1,-61.0,22.0
ZINC000367568545,0,,,,NT,0.63,,Cn1nccc1[C@@H]1CCC[C@@H](NC[C@H](CO)c2cccnc2)C1,-61.0,23.0
ZINC000373209847,0,,,,NT,48.49,,Fc1cccc(Cl)c1CCCNCc1cccnc1-n1cncn1,-61.0,24.0
ZINC000424406638,0,,,,NT,20.49,,CCCc1cc(N2C[C@@H](c3cnn(C)c3)[C@H](N)C2)n2ncnc2n1,-61.0,24.0
ZINC000449156693,1,760,>10000,>10000,ND,83.12,,CCC(CC)[C@@H](O)CNCc1cnc(-c2ccccc2F)s1,-61.0,22.0
ZINC000484629121,1,2630,>10000,>10000,NT,53.77,,CS[C@H]1CN(CC#Cc2ccccc2Cl)C[C@@H]1N1CCCC1,-61.0,22.0
ZINC000569143155,0,,,,NT,60.60,,COC(=O)c1cccc(CN2CC[C@]3(CC[C@@H](C)C3)C2)c1C#N,-61.0,23.0
ZINC000581277232,0,,,,NT,2.37,,COC(=O)c1occc1CNC[C@H](CO)c1ccccc1Cl,-61.0,22.0
ZINC000602819835,0,,,,NT,60.80,,CCOC(=O)c1ncc(CN2CCCC[C@@H]2C[C@H](C)O)s1,-61.0,21.0
ZINC000644617010,0,,,,NT,36.93,,C[C@H](NC[C@H](O)Cc1cccc(Cl)c1)[C@@H]1CCCCO1,-61.0,20.0
ZINC000672709877,0,,,,NT,0.46,,CN(C)C[C@H](NC(=O)NCCCn1cncn1)c1ccc(F)cc1,-61.0,24.0
ZINC000599506959,0,,,,NT,20.83,,CCOC(=O)C[C@H](O)CN1C[C@@H](O)[C@H](Oc2cnn(C)c2)C1,-61.0,22.0
ZINC000102930897,0,,,,NT,-0.55,,CCc1ccc(CNC(=O)CN2CCCC2(C)C)s1,-60.99,19.0
ZINC000248909028,0,,,,NT,9.23,,O=C(NC[C@@H](c1cccc(Cl)c1)N1CCCC1)NC[C@@H]1CC[C@@H](O)C1,-60.99,25.0
ZINC000340892636,0,,,,NT,44.29,,c1cn(-c2ccccc2)c(CN=c2[nH]c3ccccc3[nH]2)n1,-60.99,22.0
ZINC000363554822,0,,,,NT,19.28,,O=C1C[C@H](Nc2ncnc3[nH]ccc32)CN1[C@@H]1C[C@H]1c1ccccc1,-60.99,25.0
ZINC000418270293,0,,,,NT,29.84,,CC(C)C[C@@H](CN)NC(=O)NC[C@H]1CSc2ccccc21,-60.99,21.0
ZINC000614859831,0,,,,NT,-6.53,,CN(C)C[C@@H](CO)NC(=O)Cc1coc2ccc3ccccc3c12,-60.99,24.0
ZINC000657498570,1,2430,>10000,>10000,NT,72.43,,CC[C@@H](C)C[C@@H](CO)NCc1cc2c(cccc2C)[nH]1,-60.99,20.0
ZINC000662049949,0,,,,NT,44.22,,OC[C@@H](NCC1(O)CCSCC1)c1cccc(Cl)c1Cl,-60.99,20.0
ZINC000663449223,0,,,,NT,36.33,,CCc1ccc([C@@H](CNC(=O)N[C@@H]2COC(C)(C)C2)N(C)C)cc1,-60.99,24.0
ZINC000294513981,1,3160,>10000,>10000,NT,58.55,,CS[C@@H]1CN(C[C@@H](O)c2cc3ccccc3o2)C[C@H]1N1CCCC1,-60.98,24.0
ZINC000329185772,0,,,,NT,-8.62,,C[C@H]1CC[C@H](C)N1CC(O)=Nc1c[nH]nc1-c1ccccc1,-60.98,22.0
ZINC000358506216,1,250,5880,6540,NT,91.45,,OC[C@H](Cc1ccc(F)cc1)NCc1ccn(-c2ccccc2)n1,-60.98,24.0
ZINC000451439685,0,,,,NT,-2.00,,CCOCCCNC(=O)[C@@H](C)N1CC[C@@](O)(C(F)F)C1,-60.98,20.0
ZINC000488408504,0,,,,NT,-5.43,,C[C@@H](CC1CCOCC1)N[C@@H](C(N)=O)c1cccc(Br)c1,-60.98,21.0
ZINC000492588861,0,,,,NT,39.55,,CCc1ccc(/C=C/C(=O)NC[C@@H](C)N2CCCC2)o1,-60.98,20.0
ZINC000514779500,0,,,,NT,15.28,,Cc1cccc(CNC(=O)NCC2(N3CCOCC3)CCOCC2)c1,-60.98,25.0
ZINC000520702665,0,,,,NT,-2.80,,O=C(NC[C@@H](c1ccccc1)N1CCCC1)N1CCC(CCO)CC1,-60.98,25.0
ZINC000535008050,1,3330,>10000,>10000,NT,63.96,,COc1nc2ccccc2cc1CNC[C@@H](C)Cn1ccnc1C,-60.98,24.0
ZINC000540595123,0,,,,NT,41.23,,CCOc1cccc2cc([C@@H](C)NCC3(O)CCCCC3)oc21,-60.98,23.0
ZINC000567992445,1,850,>10000,>10000,4820,66.81,,CCC[C@H](C)[C@H](CO)NCCc1nc(-c2ccc(Cl)cc2)no1,-60.98,23.0
ZINC000630510616,0,,,,NT,69.54,,C[C@H]1CCCN(c2nccc(N3Cc4ccccc4C3)n2)[C@@H]1CN,-60.98,24.0
ZINC000163793821,0,,,,NT,41.23,,CC[C@@H](N[C@H](C)c1ccc(-c2ccccc2)o1)c1ccncc1,-58.0,23.0
ZINC000180191350,0,,,,NT,-11.07,,Cc1cccc(-c2[nH]ncc2CN2CC[C@@](C)(O)C2)c1,-58.0,20.0
ZINC000237938360,1,180,5720,1070,NT,94.14,,Cc1cccc(CCNCc2ccn(-c3ccccc3)n2)c1,-58.0,22.0
ZINC000280937772,0,,,,NT,-0.01,,COc1cc(NC(=O)C(=O)N2CC[C@@H]3CCN(C)C[C@@H]32)c(C)cc1C,-58.0,25.0
ZINC000281183080,0,,,,NT,-13.73,,CN(C)CC1(NC(=O)CCn2c3ccccc3n(C)c2=O)CCC1,-58.0,24.0
ZINC000331563561,0,,,,NT,-11.14,,Cc1nc(CNC(=O)C(=O)N2C[C@@H]3CCC[C@H](N)[C@@H]3C2)sc1C,-58.0,23.0
ZINC000346659834,0,,,,NT,8.52,,COCCN(C)c1ccc(CN=c2[nH]c3ccccc3[nH]2)cn1,-58.0,23.0
ZINC000348254305,0,,,,NT,25.64,,C[C@@H](Cn1cccn1)NC[C@@](C)(CO)c1ccccc1,-58.0,20.0
ZINC000363565214,0,,,,NT,-1.43,,CN(C(=O)CCc1nc(-c2ccc(F)cc2)no1)[C@H]1CCCN(C)C1,-58.0,25.0
ZINC000369112902,0,,,,NT,-18.13,,N[C@@H]1CN(C(=O)c2cnc(-c3ccncc3)s2)C[C@H]1c1ccccc1,-58.0,25.0
ZINC000370525145,0,,,,NT,7.15,,CC[C@H](C(N)=O)N1C[C@H](C(=O)OC)C2(CCC2)C1,-58.0,18.0
ZINC000370768181,0,,,,NT,28.26,,O=[N+]([O-])c1ccccc1/C=C/CN[C@@H]1CCCN(c2ccncn2)C1,-58.0,25.0
ZINC000375292554,0,,,,NT,11.72,,Fc1ccccc1-c1cnc(CN2CC[C@]3(C2)CCCOC3)o1,-58.0,23.0
ZINC000414865159,0,,,,NT,48.93,,CCNCc1ccccc1NCc1ccc(N2CCCC2)nc1,-58.0,23.0
ZINC000415558697,1,990,2000,5870,NT,89.00,,CCCC[C@H](CN)NC(=O)Nc1cnn(-c2ccc(C)cc2C)c1,-58.0,24.0
ZINC000422901222,0,,,,NT,-25.46,,CCCC[C@@H](CN)NC(=O)c1cnc2c(C)cccn2c1=O,-58.0,22.0
ZINC000428256950,0,,,,NT,28.19,,CN(CCc1cccs1)Cc1cccc(F)c1C#N,-58.0,19.0
ZINC000428731910,0,,,,NT,17.70,,C[C@]12CCN(C3c4ccccc4-c4ccccc43)C[C@H]1C2(F)F,-58.0,23.0
ZINC000443500799,0,,,,NT,69.23,,C[C@@H](COCc1ccccc1)N=c1[nH]c2cccc(F)c2n1C,-58.0,23.0
ZINC000447942180,0,,,,NT,-5.12,,Fc1ccccc1CCNCc1ccnn1-c1ccccc1,-58.0,22.0
ZINC000474810522,1,2790,>10000,>10000,NT,61.91,,C[C@@H](CN[C@@H](C)C1CCSCC1)Oc1cccc(Cl)c1,-58.0,20.0
ZINC000495880797,0,,,,NT,-11.11,,Cc1cncc([C@@H](C)N[C@@H](C)CCCNC(=O)OC(C)(C)C)c1,-58.0,23.0
ZINC000497056051,1,2220,>10000,>10000,NT,93.20,,C[C@@H]1CN(Cc2cccc3c[nH]nc32)C[C@H]1NC(=O)OC(C)(C)C,-58.0,24.0
ZINC000568745637,0,,,,NT,26.04,,CNCCCn1c(=O)oc2cc(Br)c(F)cc21,-58.0,17.0
ZINC000569686370,1,550,>10000,>10000,7840,104.16,,C=C(C)COCCNC[C@H](O)Cc1ccc(C(F)(F)F)cc1,-58.0,22.0
ZINC000570378223,0,,,,NT,74.78,,C[C@@H](NCCc1nc(O)c2ccccc2n1)c1ncc(Br)cn1,-58.0,23.0
ZINC000584136937,1,7740,>10000,>10000,NT,63.72,,COc1cncc(CN[C@H](c2ccc(Cl)cc2)C2CCC2)c1,-58.0,22.0
ZINC000601145950,0,,,,NT,5.50,,COC(=O)[C@H](C)NC(=O)[C@H](C)NCc1ccc(C)cc1Cl,-58.0,21.0
ZINC000638645623,0,,,,NT,13.30,,C[C@H]1CC[C@@H](NC(=O)CCc2cc(F)ccc2F)CN1,-58.0,20.0
ZINC000653191880,0,,,,NT,17.77,,CC(C)(C(=O)Nc1cc2c(nc1O)CCCC2)[C@@H](N)c1ccccc1,-58.0,25.0
ZINC000655940516,0,,,,NT,45.60,,Cn1cc([C@@H]2CN(CCC(C)(C)C3CC3)C[C@H]2N)cn1,-58.0,20.0
ZINC000663410642,0,,,,NT,14.47,,CCN(CCCNc1cc(C(F)(F)F)cc(C)n1)S(C)(=O)=O,-58.0,22.0
ZINC000423069736,0,,,,NT,36.82,,C[C@@H](CN[C@@H]1CCCCC[C@H]1N)Oc1ccc(Cl)cc1,-58.0,20.0
ZINC000119410297,0,,,,NT,-26.23,,N#Cc1ccc(OC[C@H](O)CN(C[C@@H]2CCCO2)[C@@H]2CCSC2)cc1,-57.99,25.0
ZINC000128472643,0,,,,NT,9.97,,CN(C[C@H](O)C(F)(F)F)CC1(O)CCOCC1,-57.99,17.0
ZINC000343185691,0,,,,NT,86.21,,Cn1ccc(CNCCCc2cccc(Cl)c2)c1,-57.99,18.0
ZINC000639320180,0,,,,NT,13.13,,COc1nsc(CNC[C@H](CO)CC2CC2)c1Br,-57.99,18.0
ZINC000092642352,1,820,>10000,>10000,ND,87.72,,C[C@@H]1CCCN(C(C)(C)CNc2nc(C3CC3)ns2)C1,-55.0,20.0
ZINC000127859549,1,260,>10000,3570,10390,101.34,,Cc1ccc(CNCCCn2cccn2)cc1Br,-55.0,18.0
ZINC000195335838,0,,,,NT,-5.69,,Fc1cccc(-c2nnn(CCCN3CCOCC3)n2)c1,-55.0,21.0
ZINC000264073851,1,1540,>10000,>10000,NT,76.76,,C=C(C)CN/C(N)=N/CCCCN(C)c1ccccc1,-55.0,20.0
ZINC000266211012,0,,,,NT,10.47,,CC[C@@H](C)NC(=O)CN1CCC[C@H](c2cc(C(N)=O)[nH]n2)C1,-55.0,22.0
ZINC000304063884,0,,,,NT,-2.84,,Cc1nc(CN(CCO)CCc2ccccc2)oc1C,-55.0,20.0
ZINC000308370895,0,,,,NT,-13.90,,CCOc1cccc(CN[C@@H]2C[C@@H](OC)C23CCC3)c1,-55.0,20.0
ZINC000331207634,0,,,,NT,-16.69,,CCN1CC[C@H](N(C)C(O)=Nc2cccc(C#N)c2C)C[C@@H]1C,-55.0,23.0
ZINC000339591161,0,,,,NT,-6.53,,C=CCCCNC(=O)C(=O)NCC1(N2CCCCC2)CCCCC1,-55.0,24.0
ZINC000341120539,0,,,,NT,39.42,,Cc1ccc(S(=O)(=O)CCCN2C[C@H](O)C[C@H]2C)cc1,-55.0,20.0
ZINC000341983064,0,,,,NT,2.61,,N#Cc1ccc(CN2CC[C@@]3(C2)CCCOC3)c(OC(F)F)c1,-55.0,23.0
ZINC000355023141,0,,,,NT,13.40,,COc1ccc2nc(CN[C@@H](CCCO)c3ccccc3)[nH]c2n1,-55.0,24.0
ZINC000355274455,0,,,,NT,45.40,,Oc1cccnc1CNCc1ccnn1-c1ccc(F)cc1,-55.0,22.0
ZINC000375831418,0,,,,NT,21.77,,Cc1ccc(C2CC(NC[C@H]3CCC[C@]34NC(=O)N(C)C4=O)C2)cc1,-55.0,25.0
ZINC000412996356,0,,,,NT,38.75,,COC(=O)c1ccc(-c2nnn(C[C@@H]3CCCCN3C(C)C)n2)cc1,-55.0,25.0
ZINC000413345277,0,,,,NT,30.27,,Cc1ccc2c(C)cc(=NCCc3cnc(C)cn3)[nH]c2c1,-55.0,22.0
ZINC000418149855,0,,,,NT,-17.33,,O=C(NCc1ccsc1Br)N1CC[C@H]2CC[C@@H](C1)N2,-55.0,19.0
ZINC000431486198,0,,,,NT,-15.54,,O=C(CN=c1cc[nH]cc1[N+](=O)[O-])NCCN1CCCCCC1,-55.0,23.0
ZINC000433083202,0,,,,NT,36.83,,C=CCN1CC[C@@H](N2CC[C@H](c3ccc(CC)cc3)C2)C1=O,-55.0,22.0
ZINC000449548054,1,6500,>10000,>10000,NT,68.93,,C=C[C@@H]1OCCC[C@H]1NCc1cc2c(cc1SC)OCCO2,-55.0,22.0
ZINC000493120809,0,,,,NT,35.35,,C[C@H](N)C1CCN(C(=O)/C=C/c2ccc(Br)o2)CC1,-55.0,19.0
ZINC000527764590,0,,,,NT,45.17,,Cn1cc2ccc(CNCc3ccccc3C3CC3)cc2n1,-55.0,22.0
ZINC000527829489,0,,,,NT,12.59,,CN(C)C(C)(C)CNc1ccc2nnc(-c3ccc(F)cc3)n2n1,-55.0,24.0
ZINC000566614319,1,1130,>10000,>10000,NT,82.58,,CN(C[C@@H]1CCCN1C)C(=O)c1ccc(-c2cc[nH]n2)s1,-55.0,21.0
ZINC000570982110,0,,,,NT,31.75,,Cc1ccc(-c2nc(C(=O)N3C[C@H](O)[C@@H](N(C)C)C3)cs2)n1C,-55.0,23.0
ZINC000573862850,0,,,,NT,5.84,,CC1(C)CCC(O)(CN[C@@H](c2nc[nH]n2)c2ccccc2)CC1,-55.0,23.0
ZINC000579130977,0,,,,NT,-3.98,,C[C@H](C(=O)N[C@H]1CCC[C@@H](CO)C1)N1CC(C)C1,-55.0,18.0
ZINC000584683200,1,3120,>10000,>10000,NT,71.15,,Cc1ccsc1CNC(=O)CN1CCCN2c3ccccc3C[C@H]2C1,-55.0,25.0
ZINC000595265041,0,,,,NT,17.33,,O=C(NCCc1ccc(Cl)cc1[N+](=O)[O-])NCC12CC(C1)CN2,-55.0,23.0
ZINC000601077976,0,,,,NT,3.52,,CN(C)CCSCc1cccc2c1CCOC2,-55.0,17.0
ZINC000614852669,0,,,,NT,-10.03,,CN(C)C[C@H](CO)NC(=O)c1cc2c(C(F)F)nn(C)c2s1,-55.0,22.0
ZINC000624097807,0,,,,NT,-3.31,,CN1C[C@H](C(=O)N[C@H]2COc3ccccc3C2)[C@@H](c2ccccc2)C1,-55.0,25.0
ZINC000631091675,0,,,,NT,2.57,,O=S1(=O)CCC[C@@H]1CNCc1cccc(Br)c1Cl,-55.0,18.0
ZINC000631979398,0,,,,NT,0.12,,C[C@@H](NC(=O)C1(c2nccc3ccccc32)CC1)[C@@H]1CN(C)CCO1,-55.0,25.0
ZINC000641759985,0,,,,NT,60.19,,C=CCC[C@H](CO)NCc1cccc(F)c1OCC(F)(F)F,-55.0,22.0
ZINC000662137220,0,,,,NT,23.08,,C[C@H]1CN(Cc2ncc(-c3ccc(F)cc3)o2)C[C@]1(C)CO,-55.0,22.0
ZINC000185593526,0,,,,NT,37.86,,N/C(=N\Cc1ncc(-c2ccccc2)cn1)N1CCCCC1,-55.0,22.0
ZINC000236835221,0,,,,NT,12.29,,CCCN(C(=O)c1cc(I)c[nH]1)C1CCNCC1,-55.0,18.0
ZINC000449583914,0,,,,NT,4.23,,Cn1nccc1[C@@H]1C[C@@H](N[C@H]2CSCCc3ccccc32)CCO1,-55.0,24.0
ZINC000486647484,0,,,,NT,-19.17,,O=C(N=c1[nH][nH]c2c1cccc2Cl)C(=O)Nc1ccc(Cl)c(F)c1,-55.0,24.0
ZINC000029620765,0,,,,NT,-9.29,,Cc1cn2nc(NCC3(N4CCSCC4)CCCC3)sc2n1,-52.0,22.0
ZINC000127166269,1,6190,>10000,>10000,NT,60.93,,CCOc1ccc(-c2nc(CNC3(C(N)=O)CCCCC3)co2)cc1,-52.0,25.0
ZINC000178717602,0,,,,NT,-16.01,,CN(C)C[C@](C)(O)CNC(=O)c1ccc(-n2cnnn2)cc1,-52.0,22.0
ZINC000258864497,0,,,,NT,-7.64,,OC1CCC(NCCc2cc(Br)ccc2F)CC1,-52.0,18.0
ZINC000262089856,0,,,,NT,24.32,,C[C@H](Cc1ccc(Cl)cc1)N(C)CCC(=O)N1CCNCC1,-52.0,22.0
ZINC000293752557,0,,,,NT,44.90,,COc1ccsc1CN1CCCNC(=O)[C@H]1Cc1ccccc1,-52.0,23.0
ZINC000302129330,0,,,,NT,-3.01,,C[C@H](CCNc1ccc(C(=O)Nc2nncs2)cn1)N1CCCCC1,-52.0,25.0
ZINC000329284591,0,,,,NT,5.47,,CN1CCCC[C@H]1CCC(O)=Nc1n[nH]c(C2CC2)c1C#N,-52.0,22.0
ZINC000329926945,0,,,,NT,-19.21,,COc1nc(N2C[C@H]3OCCN(C)[C@H]3C2)ncc1Br,-52.0,19.0
ZINC000352070883,0,,,,NT,26.58,,CC(C)[C@@H]1C[C@@H](NCc2ccc(OC(C)(C)C)nc2)CCO1,-52.0,22.0
ZINC000356154072,0,,,,NT,-2.64,,Cn1c(NC(=O)c2cncc(-c3ccccc3)c2)nc2cccnc21,-52.0,25.0
ZINC000358022333,0,,,,NT,-7.81,,CCc1nc(C)c([C@H](C)NCc2ccc(OCCO)cc2)s1,-52.0,22.0
ZINC000358362485,0,,,,NT,-18.30,,COc1ccc([C@H](C)[C@H](C)NCCc2ncc(C)cn2)cc1,-52.0,22.0
ZINC000365552749,0,,,,NT,-3.85,,Cn1ccnc1[C@@H]1CCCN(c2nc3ccccn3c2C#N)C1,-52.0,23.0
ZINC000379812577,0,,,,NT,41.50,,CC[C@H](N[C@@H]1[C@H]2CN(C(=O)OC(C)(C)C)C[C@H]21)c1ccc(F)cn1,-52.0,24.0
ZINC000413570733,1,130,>10000,>10000, IC50 = 5930,103.62,,CCOC(=O)c1sc2[nH]cnc(=N[C@H]3CCN(CC)C3)c2c1C,-52.0,23.0
ZINC000414969678,0,,,,NT,73.94,,Cc1cc(N)cc(CNCc2cnc(C(C)C)s2)c1,-52.0,19.0
ZINC000417307784,0,,,,NT,48.16,,C=C(C)CN1CCC(N[C@@H](C)[C@@H]2C[C@H]2c2cccs2)CC1,-52.0,21.0
ZINC000421386220,0,,,,NT,10.44,,Cc1c(Cl)c(CN[C@@](C)(Cc2ccccc2)C2CC2)nn1C,-52.0,22.0
ZINC000430013018,0,,,,NT,-6.10,,C[C@@H]1c2cc(Cl)c(Cl)cc2CCN1C(=O)C(=O)Nc1cnns1,-52.0,23.0
ZINC000464372572,0,,,,NT,10.04,,CCC1(CC)CN(C(=O)NC[C@@H]2CCN(C3CC3)C2)CCS1,-52.0,22.0
ZINC000513023623,0,,,,NT,8.32,,C[C@H]1[C@@H](Nc2cc(C#N)ccc2C(F)(F)F)CCCN1C,-52.0,21.0
ZINC000531646303,0,,,,NT,32.29,,CC(C)(O)CN(CC(=O)NCCCC1CCCCC1)C1CCOCC1,-52.0,25.0
ZINC000544927312,0,,,,NT,0.29,,Cc1ccc(COc2ccc(CN(C)C3CC(O)C3)cc2)cc1,-52.0,23.0
ZINC000553796500,0,,,,NT,0.76,,Cc1cccnc1NCc1cccc(OC(F)(F)F)c1,-52.0,20.0
ZINC000554523385,0,,,,NT,57.23,,CN1CC=C(CN=c2ccc(C(F)(F)F)c(C#N)[nH]2)CC1,-52.0,21.0
ZINC000567909695,0,,,,NT,5.37,,NCC1(C(=O)NCc2ccn(C3CCCC3)n2)CCOCC1,-52.0,22.0
ZINC000582419074,0,,,,NT,-13.53,,C[C@@H]1NCC[C@@H]1C(=O)N[C@@H](C(N)=O)c1ccc(F)cc1,-52.0,20.0
